"filename", "language", "vue", "JavaScript", "SCSS", "JSON", "comment", "blank", "total"
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\App.vue", "vue", 44, 0, 0, 0, 0, 6, 50
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\assets\locales\ru.json", "JSON", 0, 0, 0, 131, 0, 1, 132
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\assets\scss\color.scss", "SCSS", 0, 0, 15, 0, 0, 2, 17
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\assets\scss\global.scss", "SCSS", 0, 0, 114, 0, 9, 24, 147
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\assets\scss\styles.scss", "SCSS", 0, 0, 20, 0, 30, 5, 55
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\assets\scss\typography.scss", "SCSS", 0, 0, 128, 0, 20, 2, 150
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\assets\scss\variables.scss", "SCSS", 0, 0, 5, 0, 6, 4, 15
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\components\modals\ConfirmDeleteModal.vue", "vue", 58, 0, 0, 0, 0, 4, 62
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\components\providers\NotificationProvider.vue", "vue", 37, 0, 0, 0, 0, 2, 39
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\components\ui\UiLoader.vue", "vue", 11, 0, 0, 0, 0, 0, 11
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\components\ui\UiProgressBar.vue", "vue", 50, 0, 0, 0, 0, 1, 51
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\components\ui\inputs\UiNumberField.vue", "vue", 50, 0, 0, 0, 0, 2, 52
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\components\ui\inputs\UiTimePicker.vue", "vue", 97, 0, 0, 0, 0, 19, 116
