Date : 2023-05-20 14:44:25
Directory : c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src
Total : 109 files,  7155 codes, 226 comments, 1031 blanks, all 8412 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| vue        |         55 |      4,704 |        115 |        537 |      5,356 |
| JavaScript |         48 |      2,038 |         46 |        456 |      2,540 |
| SCSS       |          5 |        282 |         65 |         37 |        384 |
| JSON       |          1 |        131 |          0 |          1 |        132 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                    |        109 |      7,155 |        226 |      1,031 |      8,412 |
| . (Files)                                                                                                                                                            |          2 |         66 |          0 |         17 |         83 |
| assets                                                                                                                                                               |          6 |        413 |         65 |         38 |        516 |
| assets\locales                                                                                                                                                       |          1 |        131 |          0 |          1 |        132 |
| assets\scss                                                                                                                                                          |          5 |        282 |         65 |         37 |        384 |
| components                                                                                                                                                           |          7 |        412 |          0 |         40 |        452 |
| components\modals                                                                                                                                                    |          1 |         58 |          0 |          4 |         62 |
| components\providers                                                                                                                                                 |          1 |         37 |          0 |          2 |         39 |
| components\ui                                                                                                                                                        |          4 |        208 |          0 |         22 |        230 |
| components\ui (Files)                                                                                                                                                |          2 |         61 |          0 |          1 |         62 |
| components\ui\inputs                                                                                                                                                 |          2 |        147 |          0 |         21 |        168 |
| components\widgets                                                                                                                                                   |          1 |        109 |          0 |         12 |        121 |
| config                                                                                                                                                               |          5 |        107 |          0 |         11 |        118 |
| config (Files)                                                                                                                                                       |          2 |          7 |          0 |          4 |         11 |
| config\formManager                                                                                                                                                   |          3 |        100 |          0 |          7 |        107 |
| helpers                                                                                                                                                              |          9 |        308 |          5 |         70 |        383 |
| helpers (Files)                                                                                                                                                      |          6 |        274 |          4 |         56 |        334 |
| helpers\i18n                                                                                                                                                         |          3 |         34 |          1 |         14 |         49 |
| layouts                                                                                                                                                              |          2 |         24 |          0 |          3 |         27 |
| modules                                                                                                                                                              |         62 |      5,076 |        137 |        658 |      5,871 |
| modules\Auth                                                                                                                                                         |          8 |        414 |          8 |         61 |        483 |
| modules\Auth (Files)                                                                                                                                                 |          1 |         14 |          0 |          4 |         18 |
| modules\Auth\api                                                                                                                                                     |          2 |         13 |          0 |          1 |         14 |
| modules\Auth\components                                                                                                                                              |          3 |        289 |          0 |         39 |        328 |
| modules\Auth\components (Files)                                                                                                                                      |          1 |         68 |          0 |          9 |         77 |
| modules\Auth\components\forms                                                                                                                                        |          2 |        221 |          0 |         30 |        251 |
| modules\Auth\composables                                                                                                                                             |          1 |         75 |          8 |         16 |         99 |
| modules\Auth\store                                                                                                                                                   |          1 |         23 |          0 |          1 |         24 |
| modules\Forms                                                                                                                                                        |         54 |      4,662 |        129 |        597 |      5,388 |
| modules\Forms (Files)                                                                                                                                                |          1 |         14 |          0 |          1 |         15 |
| modules\Forms\api                                                                                                                                                    |          2 |         25 |          0 |          1 |         26 |
| modules\Forms\components                                                                                                                                             |         38 |      3,870 |        115 |        451 |      4,436 |
| modules\Forms\components (Files)                                                                                                                                     |          5 |        467 |          0 |         63 |        530 |
| modules\Forms\components\create-or-edit-form                                                                                                                         |         18 |      2,034 |        115 |        231 |      2,380 |
| modules\Forms\components\create-or-edit-form (Files)                                                                                                                 |          4 |        716 |        115 |         95 |        926 |
| modules\Forms\components\create-or-edit-form\question-answers-settings                                                                                               |          7 |        664 |          0 |         51 |        715 |
| modules\Forms\components\create-or-edit-form\question-types                                                                                                          |          7 |        654 |          0 |         85 |        739 |
| modules\Forms\components\forms-list                                                                                                                                  |          2 |        191 |          0 |         21 |        212 |
| modules\Forms\components\submissions-list                                                                                                                            |          2 |        139 |          0 |         12 |        151 |
| modules\Forms\components\submit-form                                                                                                                                 |          9 |        963 |          0 |        123 |      1,086 |
| modules\Forms\components\submit-form (Files)                                                                                                                         |          2 |        417 |          0 |         78 |        495 |
| modules\Forms\components\submit-form\question-renderers                                                                                                              |          7 |        546 |          0 |         45 |        591 |
| modules\Forms\components\view-forms                                                                                                                                  |          2 |         76 |          0 |          1 |         77 |
| modules\Forms\composables                                                                                                                                            |          4 |        355 |          1 |         74 |        430 |
| modules\Forms\models                                                                                                                                                 |          3 |        291 |         13 |         61 |        365 |
| modules\Forms\views                                                                                                                                                  |          6 |        107 |          0 |          9 |        116 |
| plugins                                                                                                                                                              |          4 |         99 |         14 |         30 |        143 |
| router                                                                                                                                                               |          2 |         56 |          2 |         10 |         68 |
| services                                                                                                                                                             |          8 |        561 |          3 |        142 |        706 |
| services (Files)                                                                                                                                                     |          4 |        119 |          2 |         31 |        152 |
| services\formManager                                                                                                                                                 |          4 |        442 |          1 |        111 |        554 |
| stores                                                                                                                                                               |          1 |         33 |          0 |         11 |         44 |
| views                                                                                                                                                                |          1 |          0 |          0 |          1 |          1 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                             | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\App.vue                                                                                                      | vue        |         44 |          0 |          6 |         50 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\assets\locales\ru.json                                                                                       | JSON       |        131 |          0 |          1 |        132 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\assets\scss\color.scss                                                                                       | SCSS       |         15 |          0 |          2 |         17 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\assets\scss\global.scss                                                                                      | SCSS       |        114 |          9 |         24 |        147 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\assets\scss\styles.scss                                                                                      | SCSS       |         20 |         30 |          5 |         55 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\assets\scss\typography.scss                                                                                  | SCSS       |        128 |         20 |          2 |        150 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\assets\scss\variables.scss                                                                                   | SCSS       |          5 |          6 |          4 |         15 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\components\modals\ConfirmDeleteModal.vue                                                                     | vue        |         58 |          0 |          4 |         62 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\components\providers\NotificationProvider.vue                                                                | vue        |         37 |          0 |          2 |         39 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\components\ui\UiLoader.vue                                                                                   | vue        |         11 |          0 |          0 |         11 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\components\ui\UiProgressBar.vue                                                                              | vue        |         50 |          0 |          1 |         51 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\components\ui\inputs\UiNumberField.vue                                                                       | vue        |         50 |          0 |          2 |         52 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\components\ui\inputs\UiTimePicker.vue                                                                        | vue        |         97 |          0 |         19 |        116 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\components\widgets\SidebarWidget.vue                                                                         | vue        |        109 |          0 |         12 |        121 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\config\clientStorageKeys.js                                                                                  | JavaScript |          3 |          0 |          3 |          6 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\config\formManager\field.js                                                                                  | JavaScript |         45 |          0 |          2 |         47 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\config\formManager\fieldSet.js                                                                               | JavaScript |         24 |          0 |          2 |         26 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\config\formManager\form.js                                                                                   | JavaScript |         31 |          0 |          3 |         34 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\config\supported-locales.js                                                                                  | JavaScript |          4 |          0 |          1 |          5 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\helpers\clientStorageHelper.js                                                                               | JavaScript |         40 |          0 |         11 |         51 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\helpers\dateHelper.js                                                                                        | JavaScript |         15 |          1 |          3 |         19 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\helpers\i18n\current-lang.js                                                                                 | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\helpers\i18n\get-browser-locale.js                                                                           | JavaScript |         15 |          1 |          8 |         24 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\helpers\i18n\supported-locales.js                                                                            | JavaScript |         14 |          0 |          5 |         19 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\helpers\iconHelper.js                                                                                        | JavaScript |          2 |          0 |          1 |          3 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\helpers\stringHelper.js                                                                                      | JavaScript |         85 |          1 |          9 |         95 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\helpers\urlParamsHelper.js                                                                                   | JavaScript |         30 |          1 |          7 |         38 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\helpers\utilsHelper.js                                                                                       | JavaScript |        102 |          1 |         25 |        128 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\layouts\DefaultLayout.vue                                                                                    | vue        |         17 |          0 |          2 |         19 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\layouts\EmptyLayout.vue                                                                                      | vue        |          7 |          0 |          1 |          8 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\main.js                                                                                                      | JavaScript |         22 |          0 |         11 |         33 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Auth\api\config.js                                                                                   | JavaScript |         10 |          0 |          0 |         10 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Auth\api\index.js                                                                                    | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Auth\components\Auth.vue                                                                             | vue        |         68 |          0 |          9 |         77 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Auth\components\forms\LoginForm.vue                                                                  | vue        |         85 |          0 |         13 |         98 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Auth\components\forms\RegisterForm.vue                                                               | vue        |        136 |          0 |         17 |        153 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Auth\composables\useAuth.js                                                                          | JavaScript |         75 |          8 |         16 |         99 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Auth\index.js                                                                                        | JavaScript |         14 |          0 |          4 |         18 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Auth\store\authStore.js                                                                              | JavaScript |         23 |          0 |          1 |         24 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\api\config.js                                                                                  | JavaScript |         22 |          0 |          0 |         22 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\api\index.js                                                                                   | JavaScript |          3 |          0 |          1 |          4 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\CreateOrEditForm.vue                                                                | vue        |        221 |          0 |         29 |        250 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\FormsList.vue                                                                       | vue        |         79 |          0 |          9 |         88 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\Submission.vue                                                                      | vue        |          0 |          0 |          1 |          1 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\SubmissionsList.vue                                                                 | vue        |         74 |          0 |          8 |         82 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\SubmitForm.vue                                                                      | vue        |         93 |          0 |         16 |        109 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\FormQuestion.vue                                                | vue        |        281 |          0 |         37 |        318 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\FormQuestionsAggregator.vue                                     | vue        |         88 |          0 |         13 |        101 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\FormSettings.vue                                                | vue        |        339 |        115 |         45 |        499 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\FormSubmissions.vue                                             | vue        |          8 |          0 |          0 |          8 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-answers-settings\DetailedTextAnswerSettings.vue        | vue        |         61 |          0 |          4 |         65 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-answers-settings\MultipleOptionsAnswerSettings.vue     | vue        |        105 |          0 |          7 |        112 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-answers-settings\MultipleOptionsGridAnswerSettings.vue | vue        |        132 |          0 |          7 |        139 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-answers-settings\ShortTextAnswerSettings.vue           | vue        |        125 |          0 |         15 |        140 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-answers-settings\SingleOptionAnswerSettings.vue        | vue        |        102 |          0 |          7 |        109 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-answers-settings\SingleOptionsGridAnswerSettings.vue   | vue        |        125 |          0 |          7 |        132 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-answers-settings\index.js                              | JavaScript |         14 |          0 |          4 |         18 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-types\DetailedTextQuestion.vue                         | vue        |         28 |          0 |          0 |         28 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-types\MultipleOptionsGridQuestion.vue                  | vue        |        161 |          0 |         21 |        182 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-types\MultipleOptionsQuestion.vue                      | vue        |        123 |          0 |         17 |        140 |
| c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\components\create-or-edit-form\question-types\ShortTextQuestion.vue                            | vue        |         42 |          0 |          3 |         45 |
